"Nº INSCRIPCIÓN","DENOMINACIÓN SOCIAL","PROVINCIA","LOCALIDAD","CP","CLASE O GRADO","FECHA INSCRIPCIÓN"
"EXT-177","S. COOP. SAN ISIDRO DE ENTRÍN","BADAJOZ","ENTRIN BAJO","06197","Sociedades Cooperativas Agroalimentarias",28/05/66
"EXT-1209","TIZNAMBA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","ENTRIN BAJO","06197","Sociedades Cooperativas de Trabajo Asociado",12/06/19
"06/BA-417","GRAESPA, SOCIEDAD COOPERATIVA","BADAJOZ","ESPARRAGOSA DE LA SERENA","06439","Sociedades Cooperativas de Trabajo Asociado",16/01/90
"06/BA-363","FAMA LLULIA, S. COOP. LTDA.","BADAJOZ","FERIA","06390","Sociedades Cooperativas de Trabajo Asociado",13/04/89
"EXT-490","MUJERES CORITAS, S. COOP.","BADAJOZ","FERIA","06390","Sociedades Cooperativas de Trabajo Asociado",21/03/07
"16383","SOCIEDAD COOPERATIVA OLIVARERA NUESTRA SEÑORA VIRGEN DE CONSOLACIÓN","BADAJOZ","FERIA","06390","Sociedades Cooperativas Agroalimentarias",10/01/69
"EXT-596","AGROPECUARIA FREXNENSE SOCIEDAD COOPERATIVA","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas Agroalimentarias",11/07/84
"06/BA-045","ARGOTOSA, S. COOP. LTDA.","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",19/08/88
"BA-146","CONINFREX, S. COOP. LTDA.","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",17/02/83
"BA-052","EL OCTAVARIO, S. COOP. LTDA.","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",02/12/80
"EXT-055","FREGENAL GANADEROS DE LA SIERRA, S. COOP.","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas Agroalimentarias",21/05/90
"EXT-707","GRAFICOLOR FREGENAL, S. COOP. LTDA.","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",01/11/01
"EXT-801","IBÉRICA DEL CORTE, S. COOP.","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",23/12/08
"BA-072","MÁRMOLES NERTOBRIGA, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",25/05/81
"06/BA-370","MOBASAN, S. COOP. LTDA.","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",26/07/89
"EXT-1235","NAVISGAN, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",30/01/20
"EXT-1265","PEONÍA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",18/06/21
"BA-109","SOCIEDAD COOPERATIVA LIMITADA CONSTRUCCIONES FREGENAL","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",26/03/82
"BA-028","SOCIEDAD COOPERATIVA LIMITADA FREXNENSE","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",20/06/80
"EXT-812","SUPERMERCADO FREGENAL SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","FREGENAL DE LA SIERRA","06340","Sociedades Cooperativas de Trabajo Asociado",21/11/01
"06/BA-394","SOCIEDAD COOPERATIVA GANADERA DE FUENLABRADA DE LOS MONTES","BADAJOZ","FUENLABRADA DE LOS MONTES","06660","Sociedades Cooperativas Agroalimentarias",04/10/89
"EXT-758","SOCIEDAD COOPERATIVA LIMITADA GANADERA FUENLABRA","BADAJOZ","FUENLABRADA DE LOS MONTES","06660","Sociedades Cooperativas Agroalimentarias",13/08/98
"BA-143","SOCIEDAD COOPERATIVA LIMITADA LA CALABRESA","BADAJOZ","FUENLABRADA DE LOS MONTES","06660","Sociedades Cooperativas de Trabajo Asociado",21/12/82
"EXT-1112","SOCIEDAD COOPERATIVA MONTEMIEL","BADAJOZ","FUENLABRADA DE LOS MONTES","06660","Sociedades Cooperativas Agroalimentarias",22/07/78
"EXT-423","SOCIEDAD COOPERATIVA OLIVARERA NUESTRA SEÑORA DE LA ASUNCIÓN","BADAJOZ","FUENLABRADA DE LOS MONTES","06660","Sociedades Cooperativas Agroalimentarias",17/02/65
"EXT-1276","CAPRISUREX, SOCIEDAD COOPERATIVA","BADAJOZ","FUENTE DE CANTOS","06240","Sociedades Cooperativas Agroalimentarias",20/01/22
"EXT-699","CONEX SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","FUENTE DE CANTOS","06240","Sociedades Cooperativas de Trabajo Asociado",16/11/92
"EXT-053","CONTRUCCIONES NUESTRA SEÑORA DE LA HERMOSA, SOCIEDAD COOPERATIVA","BADAJOZ","FUENTE DE CANTOS","06240","Sociedades Cooperativas de Trabajo Asociado",02/10/02
"EXT-452","SOCIEDAD COOPERATIVA AGROPECUARIA FRANCISCO DE ZURBARAN","BADAJOZ","FUENTE DE CANTOS","06240","Sociedades Cooperativas Agroalimentarias",08/07/77
"EXT-868","SOCIEDAD COOPERATIVA CONSTRUCCIONES SUROESTE","BADAJOZ","FUENTE DE CANTOS","06240","Sociedades Cooperativas de Trabajo Asociado",17/10/94
"22400","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL CARMEN, S. COOP.","BADAJOZ","FUENTE DE CANTOS","06240","Sociedades Cooperativas de Consumidores y Usuarios",19/01/77
"EXT-535","SOCIEDAD COOPERATIVA VIRGEN DEL ARA","BADAJOZ","FUENTE DEL ARCO","06980","Sociedades Cooperativas Agroalimentarias",14/03/97
"EXT-1065","AVÍCOLAS LA FUENTE, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","FUENTE DEL MAESTRE","06360","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",26/01/15
"EXT-716","GRAN MAESTRE, S. COOP. ESPECIAL","BADAJOZ","FUENTE DEL MAESTRE","06360","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",12/02/08
"EXT-1105","LA JAROSA, S. COOP. ESPECIAL","BADAJOZ","FUENTE DEL MAESTRE","06360","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",23/05/16
"EXT-795","PROAVIEX, S. COOP. ESPECIAL","BADAJOZ","FUENTE DEL MAESTRE","06360","Sociedades Cooperativas Agroalimentarias",01/12/08
"EXT-062","SOCIEDAD COOPERATIVA AGRARIA NUESTRA SEÑORA DE LA CABEZA","BADAJOZ","FUENTE DEL MAESTRE","06360","Sociedades Cooperativas Agroalimentarias",15/03/78
"EXT-405","SOCIEDAD COOPERATIVA INDUSTRIAL FONTANESA DE CONFECCIÓN","BADAJOZ","FUENTE DEL MAESTRE","06360","Sociedades Cooperativas de Trabajo Asociado",18/04/77
"11764","COOPERATIVA OLIVARERA NUESTRA SEÑORA DE LOS ANGELES","BADAJOZ","FUENTES DE LEON","06280","Sociedades Cooperativas Agroalimentarias",21/07/64
"EXT-227","RICAI DE FUENTES DE LEON S. COOP. LTDA.","BADAJOZ","FUENTES DE LEON","06280","Sociedades Cooperativas de Trabajo Asociado",16/12/98
"EXT-610","SOCIEDAD COOPERATIVA DEL CAMPO SAN ONOFRE","BADAJOZ","FUENTES DE LEON","06280","Sociedades Cooperativas Agroalimentarias",16/05/46
"EXT-685","SOCIEDAD COOPERATIVA SANTA ANA VIRGEN DEL ESPINO DEL VALLE","BADAJOZ","GARBAYUELA","06690","Sociedades Cooperativas de Trabajo Asociado",09/06/94
"BA-090","VIRGEN DEL CARMEN DE GARBAYUELA, S. COOP. LTDA.","BADAJOZ","GARBAYUELA","06690","Sociedades Cooperativas de Trabajo Asociado",10/11/81
"EXT-233","CAMPO EN MARCHA S. COOP.","BADAJOZ","GARGALIGAS","06711","Sociedades Cooperativas Agroalimentarias",25/06/93
"20564","SOCIEDAD COOPERATIVA 19 DE DICIEMBRE","BADAJOZ","GARGALIGAS","06711","Sociedades Cooperativas de Consumidores y Usuarios",02/10/74
"EXT-451","OLIVARERA GARLITOS, SOCIEDAD COOPERATIVA","BADAJOZ","GARLITOS","06656","Sociedades Cooperativas Agroalimentarias",21/08/02
"EXT-160","VICENTE PEDRAJAS SOCIEDAD COOPERATIVA","BADAJOZ","GARLITOS","06656","Sociedades Cooperativas de Trabajo Asociado",07/03/88
"EXT-469","AGRICULTORES DE LA GARROVILLA SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","GARROVILLA (LA)","06870","Sociedades Cooperativas Agroalimentarias",10/06/94
"EXT-1168","FELECRO, S. COOP. ESPECIAL","BADAJOZ","GARROVILLA (LA)","06870","Sociedades Cooperativas de Trabajo Asociado",24/04/18
"EXT-1113","FINCA TELENA S. COOP. ESPECIAL","BADAJOZ","GARROVILLA (LA)","06870","Sociedades Cooperativas de Trabajo Asociado",15/07/16
"EXT-595","LA JARILLA EXTREMEÑA, SOCIEDAD COOPERATIVA","BADAJOZ","GARROVILLA (LA)","06870","Sociedades Cooperativas de Trabajo Asociado",15/01/97
"EXT-365","NUESTRA SEÑORA DE LA CARIDAD DE LA GARROVILLA, S. COOP. LTDA.","BADAJOZ","GARROVILLA (LA)","06870","Sociedades Cooperativas Agroalimentarias",22/10/85
"EXT-571","SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA LA VEGA DEL MÁRMOL","BADAJOZ","GARROVILLA (LA)","06870","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",17/06/02
"EXT-526","GANAEX SOCIEDAD COOPERATIVA","BADAJOZ","GEVORA","06180","Sociedades Cooperativas de Trabajo Asociado",17/09/99
"EXT-585","RÍO DE GEVORA, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","GEVORA","06180","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",02/11/04
"EXT-237","SOCIEDAD COOPERATIVA DE COLONOS DE GÉVORA","BADAJOZ","GEVORA","06180","Sociedades Cooperativas Agroalimentarias",27/07/60
"EXT-103","CAMPIÑA SUR, S. COOP.","BADAJOZ","GRANJA DE TORREHERMOSA","06910","Sociedades Cooperativas Agroalimentarias",21/08/92
"12357","COOPERATIVA AGROPECUARIA DE GRANJA DE TORREHERMOSA","BADAJOZ","GRANJA DE TORREHERMOSA","06910","Sociedades Cooperativas Agroalimentarias",07/04/65
"EXT-1049","SN ESPECTÁCULOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","GUADAJIRA","06187","Sociedades Cooperativas de Trabajo Asociado",30/10/14
"EXT-1277","EUROFRUTEX SOCIEDAD COOPERATIVA","BADAJOZ","GUADALPERALES (LOS)","06713","Sociedades Cooperativas Agroalimentarias",25/02/22
"06/BA-416","LOS ARCOS, S. COOP. AGRICOLA-GANADERA","BADAJOZ","GUADALPERALES (LOS)","06713","Sociedades Cooperativas Agroalimentarias",15/01/90
"EXT-639","SOCIEDAD COOPERATIVA DEL CAMPO INDUSTRIAL LOS GUADALPERALES","BADAJOZ","GUADALPERALES (LOS)","06713","Sociedades Cooperativas Agroalimentarias",20/04/65
"BA-283","SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE LA JARA","BADAJOZ","GUADALPERALES (LOS)","06713","Sociedades Cooperativas de Trabajo Asociado",30/06/86
"EXT-091","ANICAL SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas Agroalimentarias",04/02/04
"EXT-1087","AVÍCOLAS GUADIANA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",15/12/15
"06/BA-651","CONSTRUCCIONES MAYSA, S. COOP.","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas de Trabajo Asociado",29/07/94
"EXT-1253","FRUTAS TORREBAJA, SOCIEDAD COOPERATIVA","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas Agroalimentarias",12/11/20
"EXT-570","LOS COMINOS, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",12/11/03
"EXT-587","MATAS DE PORRAS, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",24/03/03
"06/BA-957","PROCAEX, SOCIEDAD COOPERATIVA DE EXPLOTACION COMUNITARIA DE LA TIERRA","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",21/05/02
"EXT-238","SAN VALERIANO EXTREMEÑO, S. COOP. LTDA.","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas Agroalimentarias",03/02/81
"19773","SOCIEDAD COOPERATIVA DE COLONOS","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas de Consumidores y Usuarios",28/06/73
"EXT-583","SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA LOS MARCHENAS","BADAJOZ","GUADIANA","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",26/04/02
"EXT-863","CAFETERÍA GUAREÑA 2009, SOCIEDAD COOPERATIVA","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",03/02/10
"EXT-502","CODELAMA S. COOP. LTDA.","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",13/02/95
"EXT-751","CONSTRUCCIONES GUAREÑA SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",11/02/88
"3860","COOPERATIVA CAJA RURAL DE AHORROS Y PRESTAMOS DE SAN GREGORIO","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas Agroalimentarias",21/11/46
"EXT-534","HOSTELGU S. COOP.","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",05/01/99
"EXT-980","LOS CIEN GRAMOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",07/02/13
"EXT-206","MUDEGU, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",02/06/87
"06/BA-1040","SOCIEDAD COOPERATIVA EXTREMEÑA DE MUEBLES","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",16/08/78
"BA-160","SOCIEDAD COOPERATIVA LIMITADA DE CONFECCIÓN DE GUAREÑA","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Trabajo Asociado",29/06/83
"EXT-732","SOCIEDAD COOPERATIVA LIMITADA GUADACHEL","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas Agroalimentarias",03/09/93
"BA-049","SOCIEDAD COOPERATIVA LIMITADA OCHO DE MAYO","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas de Viviendas",27/11/80
"EXT-240","SOCIEDAD COOPERATIVA LIMITADA SAN PEDRO","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas Agroalimentarias",13/11/65
"EXT-167","VALDEMATE SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","GUAREÑA","06470","Sociedades Cooperativas Agroalimentarias",04/04/00
"9694","COOPERATIVA DEL CAMPO HELECHAL-LA NAVA","BADAJOZ","HELECHAL","06613","Sociedades Cooperativas Agroalimentarias",31/10/61
"BA-298","HEVA, S. COOP. LTDA.","BADAJOZ","HELECHAL","06613","Sociedades Cooperativas de Trabajo Asociado",16/09/86
"06/BA-415","SOCIEDAD COOPERATIVA DE APROVECHAMIENTOS FORESTALES LA SIBERIA","BADAJOZ","HELECHOSA DE LOS MONTES","06692","Sociedades Cooperativas de Trabajo Asociado",15/01/90
"EXT-213","SOCIEDAD COOPERATIVA AGRÍCOLA SAN VALENTÍN DE HERNÁN CORTÉS","BADAJOZ","HERNAN CORTES","06412","Sociedades Cooperativas Agroalimentarias",30/01/95
"EXT-464","SOCIEDAD COOPERATIVA HERCO","BADAJOZ","HERNAN CORTES","06412","Sociedades Cooperativas Agroalimentarias",26/05/78
"17293","COOPERATIVA DEL CAMPO EL MORRO","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",23/10/69
"16947","COOPERATIVA DEL CAMPO LA EXTREMEÑA","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas Agroalimentarias",09/07/69
"EXT-1147","HANGAR AUTO CHAPA Y PINTURA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas de Trabajo Asociado",15/06/17
"EXT-1019","RECURSOS FORESTALES CIJARA, SOCIEDAD COOPERATIVA","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas de Trabajo Asociado",05/12/13
"06/BA-050","SOCIEDAD COOPERATIVA AGROPECUARIA SIBERIANA","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas Agroalimentarias",11/10/88
"EXT-361","SOCIEDAD COOPERATIVA CASTILLO DE HERRERA","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas Agroalimentarias",12/09/90
"EXT-132","SOCIEDAD COOPERATIVA HEDUTRAASA","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas de Trabajo Asociado",04/11/05
"6624","SOCIEDAD COOPERATIVA LOCAL DEL CAMPO CONSOLACION","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas Agroalimentarias",18/11/54
"EXT-1177","SOCIEDAD COOPERATIVA SAN JUAN BAUTISTA","BADAJOZ","HERRERA DEL DUQUE","06670","Sociedades Cooperativas de Consumidores y Usuarios",08/03/77
"EXT-098","ENBLACAR, S. COOP. LTDA.","BADAJOZ","HIGUERA DE LA SERENA","06441","Sociedades Cooperativas de Trabajo Asociado",11/06/04
"EXT-922","GANADEROS HIGUEREÑOS, SOCIEDAD COOPERATIVA","BADAJOZ","HIGUERA DE LA SERENA","06441","Sociedades Cooperativas Agroalimentarias",06/07/11
"EXT-468","SOCIEDAD COOPERATIVA RIO RETÍN","BADAJOZ","HIGUERA DE LLERENA","06445","Sociedades Cooperativas Agroalimentarias",21/02/07
"EXT-915","SERVICIOS ASISTENCIALES DE HIGUERA DE VARGAS, S. COOP. ESPECIAL","BADAJOZ","HIGUERA DE VARGAS","06132","Sociedades Cooperativas de Trabajo Asociado",25/04/11
"EXT-782","CONSTRUCCIONES LORETO, S. COOP.","BADAJOZ","HIGUERA LA REAL","06350","Sociedades Cooperativas de Trabajo Asociado",14/04/94
"06/BA-918","FUENTE DE GARGALLON, SOCIEDAD COOPERATIVA DE TRABAJO ASOCIADO","BADAJOZ","HIGUERA LA REAL","06350","Sociedades Cooperativas de Trabajo Asociado",04/04/01
"BA-151","SOCIEDAD COOPERATIVA LIMITADA HIGUEREÑA DE LA CONSTRUCCIÓN","BADAJOZ","HIGUERA LA REAL","06350","Sociedades Cooperativas de Trabajo Asociado",11/05/83
"EXT-835","SOCIEDAD COOPERATIVA LIMITADA, LA GLORIETA","BADAJOZ","HIGUERA LA REAL","06350","Sociedades Cooperativas de Trabajo Asociado",15/10/80
"EXT-1297","LAS EXTREMAÑICAS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","HINOJOSA DEL VALLE","06226","Sociedades Cooperativas de Trabajo Asociado",30/11/22
"EXT-507","SOCIEDAD COOPERATIVA SANTO CRISTO DEL ARCO TORAL","BADAJOZ","HINOJOSA DEL VALLE","06226","Sociedades Cooperativas Agroalimentarias",19/04/61
"EXT-540","FUENTE DE LOS MOROS SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","HORNACHOS","06228","Sociedades Cooperativas Agroalimentarias",12/12/89
"06/BA-639","GRANITOS Y MARMOLES FORNACIS, SOCIEDAD COOPERATIVA","BADAJOZ","HORNACHOS","06228","Sociedades Cooperativas de Trabajo Asociado",06/06/94
"EXT-823","HORNACHEROS, S. COOP.","BADAJOZ","HORNACHOS","06228","Sociedades Cooperativas de Trabajo Asociado",04/02/00
"EXT-555","MUEBLES TERRAZAS, SOCIEDAD COOPERATIVA","BADAJOZ","HORNACHOS","06228","Sociedades Cooperativas de Trabajo Asociado",21/06/93
"EXT-1130","NATUREX, S. COOP. ESPECIAL","BADAJOZ","HORNACHOS","06228","Sociedades Cooperativas de Trabajo Asociado",09/11/16
"EXT-185","SOCIEDAD COOPERATIVA LIMITADA DE HORNACHOS","BADAJOZ","HORNACHOS","06228","Sociedades Cooperativas Agroalimentarias",05/03/80
"EXT-654","CONSTRUCCIONES MECEVA, S. COOP.","BADAJOZ","JEREZ DE LOS CABALLEROS","06380","Sociedades Cooperativas de Trabajo Asociado",05/03/99
"EXT-904","CONSTRUCTORA VASCO NUÑEZ, S. COOP. LTDA.","BADAJOZ","JEREZ DE LOS CABALLEROS","06380","Sociedades Cooperativas de Trabajo Asociado",19/05/86
"BA-207","COOPERATIVA DE CONSTRUCCIÓN LA PALOMA, S. COOP. LTDA.","BADAJOZ","JEREZ DE LOS CABALLEROS","06380","Sociedades Cooperativas de Trabajo Asociado",06/08/84
"BA-313","DISTRIBUIDORA EXTREMEÑA DE LEVADURAS, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","JEREZ DE LOS CABALLEROS","06380","Sociedades Cooperativas de Trabajo Asociado",07/01/87
"EXT-100","INSTALACIONES JEREZANAS SOCIEDAD COOPERATIVA","BADAJOZ","JEREZ DE LOS CABALLEROS","06380","Sociedades Cooperativas de Trabajo Asociado",17/06/04
"06/BA-049","SOCIEDAD COOPERATIVA LIMITADA DE JEREZ DE LOS CABALLEROS","BADAJOZ","JEREZ DE LOS CABALLEROS","06380","Sociedades Cooperativas de Trabajo Asociado",11/10/88
"EXT-816","VASCO NUÑEZ, S. COOP. LTDA.","BADAJOZ","JEREZ DE LOS CABALLEROS","06380","Sociedades Cooperativas de Trabajo Asociado",29/07/82
"BA-053","SOCIEDAD COOPERATIVA LIMITADA VIRGEN DE TENTUDÍA","BADAJOZ","LLERA","06227","Sociedades Cooperativas de Trabajo Asociado",15/12/80
"EXT-536","AGROLLERENA Y COMARCA SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","LLERENA","06900","Sociedades Cooperativas Agroalimentarias",25/01/01
"EXT-942","CARNICAS DE LLERENA, S. COOP. LTDA.","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Trabajo Asociado",19/10/82
"9565","COOPERATIVA COMARCAL AGROPECUARIA Y CAJA RURAL SAN ISIDRO","BADAJOZ","LLERENA","06900","Sociedades Cooperativas Agroalimentarias",26/07/61
"17573","COOPERATIVA TEXTIL ARTESANA SANTA TERESA","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Trabajo Asociado",16/01/70
"EXT-1279","EXTREMEÑA DE PISTACHOS, SOCIEDAD COOPERATIVA AGROALIMENTARIA","BADAJOZ","LLERENA","06900","Sociedades Cooperativas Agroalimentarias",23/03/22
"EXT-736","FÓRMULA, S. COOP. ESPECIAL","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Enseñanza",25/03/08
"EXT-129","LYTEX, S.C. LOGÍSTICA Y TRANSPORTES DE EXTREMADURA, S. COOP.","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Trabajo Asociado",29/07/05
"EXT-494","SERVICIOS Y ATENCIÓN A MAYORES EN LA CAMPIÑA, S. COOP.","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Trabajo Asociado",10/07/01
"EXT-708","SOCIEDAD COOPERATIVA DE CARPINTERÍA Y DECORACIÓN LLERENA","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Trabajo Asociado",21/09/04
"EXT-508","SOCIEDAD COOPERATIVA DE CONSTRUCCIÓN ELLERINA","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Trabajo Asociado",23/03/00
"EXT-631","SOCIEDAD COOPERATIVA DOCENTE NTRA. SRA. DE LA GRANADA DE LLERENA","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Enseñanza",05/11/86
"EXT-420","SOCIEDAD COOPERATIVA LLERENENSE DEL MUEBLE","BADAJOZ","LLERENA","06900","Sociedades Cooperativas de Trabajo Asociado",21/11/03
"EXT-560","LA TIESA, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","LOBON","06498","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",18/02/04
"06/BA-514","S. COOP. LOBON","BADAJOZ","LOBON","06498","Sociedades Cooperativas de Trabajo Asociado",04/02/92
"EXT-346","SOCIEDAD COOPERATIVA LIMITADA PEDRO DE ALVARADO","BADAJOZ","LOBON","06498","Sociedades Cooperativas Agroalimentarias",29/07/82
"EXT-411","SOCIEDAD COOPERATIVA OLIVARERA SAN ANTONIO DE PADUA","BADAJOZ","MALCOCINADO","06928","Sociedades Cooperativas Agroalimentarias",25/09/64
"BA-044","SOCIEDAD COOPERATIVA LIMITADA LA NATIVIDAD DE NUESTRA SEÑORA DE MANCHITA","BADAJOZ","MANCHITA","06478","Sociedades Cooperativas de Trabajo Asociado",27/11/80
"EXT-184","AGRÍCOLA DE MEDELLÍN S. COOP.","BADAJOZ","MEDELLIN","06411","Sociedades Cooperativas Agroalimentarias",02/04/69
"EXT-693","ALEXA, SOCIEDAD COOPERATIVA","BADAJOZ","MEDELLIN","06411","Sociedades Cooperativas de Servicios",03/12/07
"06/BA-408","CONFECCIONES HERNÁN CORTÉS DE MEDELLÍN, S. COOP. LTDA.","BADAJOZ","MEDELLIN","06411","Sociedades Cooperativas de Trabajo Asociado",12/12/89
"BA-249","INDUSTRIAS ARTÍSTICAS DE PORCELANAS EXTREMEÑAS, INARPOEX, S. COOP. LTDA.","BADAJOZ","MEDELLIN","06411","Sociedades Cooperativas de Trabajo Asociado",10/01/86
"EXT-049","TOMATES DEL GUADIANA SOCIEDAD COOPERATIVA","BADAJOZ","MEDELLIN","06411","Sociedades Cooperativas Agroalimentarias",15/11/01
"3209","COOPERATIVA DEL CAMPO CRÉDITO AGRÍCOLA","BADAJOZ","MEDINA DE LAS TORRES","06320","Sociedades Cooperativas Agroalimentarias",10/04/47
"EXT-598","S. COOP. RECOGIDA DE SOLIDOS MEDINA DE LAS TORRES","BADAJOZ","MEDINA DE LAS TORRES","06320","Sociedades Cooperativas de Trabajo Asociado",04/10/96
"BA-077","SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE CORONADA","BADAJOZ","MEDINA DE LAS TORRES","06320","Sociedades Cooperativas de Trabajo Asociado",22/06/81
"EXT-503","SOCIEDAD COOPERATIVA SANTISIMO CRISTO DEL HUMILLADERO","BADAJOZ","MEDINA DE LAS TORRES","06320","Sociedades Cooperativas Agroalimentarias",23/07/58
"EXT-1148","2 DE 2, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","MERIDA","06800","Sociedades Cooperativas de Trabajo Asociado",27/06/17
"EXT-1194","7 ELEMENTOS 7, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","MERIDA","06800","Sociedades Cooperativas de Trabajo Asociado",04/12/18
