"2022","pimcash07-Pescadería","Recibos municipales ","267"
"2022","pimcash07-Pescadería","Reservas Cursos ","3"
"2022","pimcash07-Pescadería","TC: Consulta Movimientos Monedero ","4"
"2022","pimcash07-Pescadería","Tickets ","1029"
"2022","pimcash07-Pescadería","Volantes Padrón ","39"
"2022","pimcash08-EMA","Abono Deporte.Compra ","5"
"2022","pimcash08-EMA","BonosVirtuales.Consulta ","4"
"2022","pimcash08-EMA","Cambio de PIN ","7"
"2022","pimcash08-EMA","Consulta Abono ","1"
"2022","pimcash08-EMA","Consulta Mis Solicitudes ","15"
"2022","pimcash08-EMA","Consulta Movimientos ","3"
"2022","pimcash08-EMA","Consulta Saldo ","66"
"2022","pimcash08-EMA","Impresion Justificante Curso ","12"
"2022","pimcash08-EMA","Inscripciones Cursos ","26"
"2022","pimcash08-EMA","Recarga Abono ","35"
"2022","pimcash08-EMA","Recarga tarjeta ","294"
"2022","pimcash08-EMA","Recibos municipales ","2947"
"2022","pimcash08-EMA","TC: Consulta Movimientos Monedero ","1"
"2022","pimcash08-EMA","Tickets ","36"
"2022","pimcash08-EMA","Volantes Padrón ","2"
"2022","pimcash09-Jovellanos","Abono Deporte.Compra ","30"
"2022","pimcash09-Jovellanos","BonosVirtuales.Consulta ","34"
"2022","pimcash09-Jovellanos","Cambio de PIN ","69"
"2022","pimcash09-Jovellanos","Consulta Abono ","1"
"2022","pimcash09-Jovellanos","Consulta Mis Solicitudes ","153"
"2022","pimcash09-Jovellanos","Consulta Movimientos ","8"
"2022","pimcash09-Jovellanos","Consulta Saldo ","481"
"2022","pimcash09-Jovellanos","Impresion Justificante Curso ","90"
"2022","pimcash09-Jovellanos","Inscripciones Cursos ","219"
"2022","pimcash09-Jovellanos","Recarga Abono ","120"
"2022","pimcash09-Jovellanos","Recarga tarjeta ","3224"
"2022","pimcash09-Jovellanos","Recibos municipales ","59"
"2022","pimcash09-Jovellanos","Reserva Instalaciones ","6"
"2022","pimcash09-Jovellanos","Reservas Cursos ","4"
"2022","pimcash09-Jovellanos","TC: Consulta Movimientos Monedero ","6"
"2022","pimcash09-Jovellanos","Tickets ","49"
"2022","pimcash09-Jovellanos","Volantes Padrón ","21"
"2022","pimcash10-La Camocha","Abono Deporte.Compra ","47"
"2022","pimcash10-La Camocha","BonosVirtuales.Consulta ","17"
"2022","pimcash10-La Camocha","Cambio de PIN ","12"
"2022","pimcash10-La Camocha","Consulta Abono ","1"
"2022","pimcash10-La Camocha","Consulta Mis Solicitudes ","135"
"2022","pimcash10-La Camocha","Consulta Movimientos ","1"
"2022","pimcash10-La Camocha","Consulta Saldo ","90"
"2022","pimcash10-La Camocha","Impresion Justificante Curso ","70"
"2022","pimcash10-La Camocha","Inscripciones Cursos ","130"
"2022","pimcash10-La Camocha","Recarga Abono ","26"
"2022","pimcash10-La Camocha","Recarga tarjeta ","276"
"2022","pimcash10-La Camocha","Recibos municipales ","37"
"2022","pimcash10-La Camocha","TC: Consulta Movimientos Monedero ","2"
"2022","pimcash10-La Camocha","Tickets ","56"
